# Node-ID	solution type	event type	new arrangement at node	arrangement at parental node
10	exact solution	fission	PF04818 | PF16566	PF04818 PF16566
10	exact solution	fission	PF04849 | PF12448	PF04849 PF12448
10	exact solution	fission	PF06701 PF00569 PF06701 PF18346 | PF12796 PF13920	PF06701 PF00569 PF06701 PF18346 PF12796 PF13920
10	exact solution	fission	PF07700 PF07701 | PF00211	PF07700 PF07701 PF00211
10	exact solution	fission	PF08344 | PF00520	PF08344 PF00520
10	exact solution	fission	PF08385 PF08393 PF12774 PF17852 PF12775 PF17857 PF12780 PF12777 PF12781 PF03028 | PF18198 PF18199	PF08385 PF08393 PF12774 PF17852 PF12775 PF17857 PF12780 PF12777 PF12781 PF03028 PF18198 PF18199
10	exact solution	fission	PF08399 PF13519 | PF08473	PF08399 PF13519 PF08473
10	exact solution	fission	PF08755 | PF04379	PF08755 PF04379
10	exact solution	fission	PF08788 | PF01753	PF08788 PF01753
10	exact solution	fission	PF09162 | PF02136 PF03943	PF09162 PF02136 PF03943
10	exact solution	fission	PF09329 | PF09332	PF09329 PF09332
10	exact solution	fission	PF09371 | PF16921 PF12836 PF17674 PF00575	PF09371 PF16921 PF12836 PF17674 PF00575
10	exact solution	fission	PF09825 | PF03099 PF02237	PF09825 PF03099 PF02237
10	exact solution	fission	PF10357 | PF18131	PF10357 PF18131
10	exact solution	fission	PF11878 PF14429 | PF06920	PF11878 PF14429 PF06920
10	exact solution	fission	PF12125 PF12937 | PF00400	PF12125 PF12937 PF00400
10	exact solution	fission	PF12394 | PF05057	PF12394 PF05057
10	exact solution	fission	PF12624 PF16908 | PF16910	PF12624 PF16908 PF16910
10	exact solution	fission	PF12781 PF03028 PF18198 | PF18199	PF12781 PF03028 PF18198 PF18199
10	exact solution	fission	PF12783 | PF01369	PF12783 PF01369
10	exact solution	fission	PF12922 | PF12717	PF12922 PF12717
10	exact solution	fission	PF13589 PF01119 | PF08676	PF13589 PF01119 PF08676
10	exact solution	fission	PF13589 PF01119 | PF16413	PF13589 PF01119 PF16413
10	exact solution	fission	PF13921 | PF11831	PF13921 PF11831
10	exact solution	fission	PF13927 | PF00051 PF07714	PF13927 PF00051 PF07714
10	exact solution	fission	PF14438 PF06741 | PF07145	PF14438 PF06741 PF07145
10	exact solution	fission	PF14604 | PF08824 PF12026	PF14604 PF08824 PF12026
10	exact solution	fission	PF14772 | PF14775	PF14772 PF14775
10	exact solution	fission	PF15492 | PF08314	PF15492 PF08314
10	exact solution	fission	PF16178 | PF04547	PF16178 PF04547
10	exact solution	fission	PF16205 | PF00366	PF16205 PF00366
10	exact solution	fission	PF16214 PF00211 PF06327 | PF00211	PF16214 PF00211 PF06327 PF00211
10	exact solution	fission	PF16414 PF12349 | PF02460	PF16414 PF12349 PF02460
10	exact solution	fission	PF16486 PF08699 PF02170 | PF16488 PF02171	PF16486 PF08699 PF02170 PF16488 PF02171
10	exact solution	fission	PF16661 | PF10996 PF07521	PF16661 PF10996 PF07521
10	exact solution	fission	PF17292 PF03531 | PF08512 PF00505	PF17292 PF03531 PF08512 PF00505
10	exact solution	fission	PF17817 PF00595 | PF00536	PF17817 PF00595 PF00536
10	exact solution	fission	PF18118 PF18264 | PF00856	PF18118 PF18264 PF00856
10	exact solution	fission	PF18139 | PF00520 PF16519	PF18139 PF00520 PF16519
10	exact solution	fusion	PF00001 PF17906	PF00001 + PF17906
10	exact solution	fusion	PF00018 PF14604 PF00621	PF00018 PF14604 + PF00621
10	exact solution	fusion	PF00023 PF12796 PF00023 PF12796	PF00023 PF12796 + PF00023 PF12796
10	exact solution	fusion	PF00027 PF00618 PF00617	PF00027 + PF00618 PF00617
10	exact solution	fusion	PF00047 PF13895	PF00047 + PF13895
10	exact solution	fusion	PF00060 PF10613 PF00060	PF00060 + PF10613 PF00060
10	exact solution	fusion	PF00062 PF00110	PF00062 + PF00110
10	exact solution	fusion	PF00063 PF06017 PF00018	PF00063 PF06017 + PF00018
10	exact solution	fusion	PF00071 PF03637	PF00071 + PF03637
10	exact solution	fusion	PF00071 PF16077	PF00071 + PF16077
10	exact solution	fusion	PF00075 PF00002	PF00075 + PF00002
10	exact solution	fusion	PF00076 PF13516	PF00076 + PF13516
10	exact solution	fusion	PF00078 PF00075	PF00078 + PF00075
10	exact solution	fusion	PF00078 PF17917 PF17921	PF00078 + PF17917 PF17921
10	exact solution	fusion	PF00078 PF17917 PF17921 PF00665	PF00078 + PF17917 PF17921 PF00665
10	exact solution	fusion	PF00078 PF17919 PF17917	PF00078 PF17919 + PF17917
10	exact solution	fusion	PF00096 PF12874 PF00096 PF12874 PF00096 PF13912 PF00096 PF12874	PF00096 PF12874 + PF00096 PF12874 PF00096 PF13912 PF00096 PF12874
10	exact solution	fusion	PF00096 PF12874 PF13894 PF00096	PF00096 PF12874 + PF13894 PF00096
10	exact solution	fusion	PF00096 PF12874 PF13912 PF00096 PF12874	PF00096 PF12874 PF13912 PF00096 + PF12874
10	exact solution	fusion	PF00096 PF13465 PF00096 PF12874	PF00096 PF13465 + PF00096 PF12874
10	exact solution	fusion	PF00096 PF13912 PF00096 PF00075	PF00096 PF13912 PF00096 + PF00075
10	exact solution	fusion	PF00106 PF00091 PF03953	PF00106 + PF00091 PF03953
10	exact solution	fusion	PF00130 PF00780	PF00130 + PF00780
10	exact solution	fusion	PF00146 PF00361	PF00146 + PF00361
10	exact solution	fusion	PF00160 PF10278	PF00160 + PF10278
10	exact solution	fusion	PF00169 PF01412	PF00169 + PF01412
10	exact solution	fusion	PF00177 PF13843	PF00177 + PF13843
10	exact solution	fusion	PF00240 PF00443	PF00240 + PF00443
10	exact solution	fusion	PF00254 PF13181	PF00254 + PF13181
10	exact solution	fusion	PF00307 PF00612	PF00307 + PF00612
10	exact solution	fusion	PF00400 PF00415 PF00632	PF00400 + PF00415 PF00632
10	exact solution	fusion	PF00400 PF04564	PF00400 + PF04564
10	exact solution	fusion	PF00415 PF13540 PF00415	PF00415 PF13540 + PF00415
10	exact solution	fusion	PF00435 PF00621	PF00435 + PF00621
10	exact solution	fusion	PF00505 PF00096	PF00505 + PF00096
10	exact solution	fusion	PF00554 PF16179 PF12796	PF00554 PF16179 + PF12796
10	exact solution	fusion	PF00595 PF15936	PF00595 + PF15936
10	exact solution	fusion	PF00628 PF13472	PF00628 + PF13472
10	exact solution	fusion	PF00648 PF01067 PF00168	PF00648 PF01067 + PF00168
10	exact solution	fusion	PF00788 PF00373	PF00788 + PF00373
10	exact solution	fusion	PF00855 PF11467	PF00855 + PF11467
10	exact solution	fusion	PF00858 PF04218	PF00858 + PF04218
10	exact solution	fusion	PF01058 PF00329	PF01058 + PF00329
10	exact solution	fusion	PF01094 PF07714 PF07701 PF00211	PF01094 + PF07714 PF07701 PF00211
10	exact solution	fusion	PF01207 PF00035	PF01207 + PF00035
10	exact solution	fusion	PF01347 PF00094	PF01347 + PF00094
10	exact solution	fusion	PF01390 PF07645	PF01390 + PF07645
10	exact solution	fusion	PF01429 PF00730	PF01429 + PF00730
10	exact solution	fusion	PF01562 PF01421 PF17771 PF00090 PF05986 PF19030 PF00002	PF01562 PF01421 PF17771 PF00090 PF05986 PF19030 + PF00002
10	exact solution	fusion	PF01694 PF00627	PF01694 + PF00627
10	exact solution	fusion	PF02014 PF06468 PF00090 PF00014 PF19028 PF00090	PF02014 PF06468 PF00090 PF00014 PF19028 + PF00090
10	exact solution	fusion	PF02037 PF13671	PF02037 + PF13671
10	exact solution	fusion	PF02138 PF00400 PF01363	PF02138 PF00400 + PF01363
10	exact solution	fusion	PF02204 PF00788	PF02204 + PF00788
10	exact solution	fusion	PF02204 PF12796	PF02204 + PF12796
10	exact solution	fusion	PF02363 PF08395	PF02363 + PF08395
10	exact solution	fusion	PF03114 PF07653	PF03114 + PF07653
10	exact solution	fusion	PF03114 PF14604	PF03114 + PF14604
10	exact solution	fusion	PF03372 PF00078	PF03372 + PF00078
10	exact solution	fusion	PF04218 PF00335	PF04218 + PF00335
10	exact solution	fusion	PF04218 PF03184	PF04218 + PF03184
10	exact solution	fusion	PF04488 PF14291	PF04488 + PF14291
10	exact solution	fusion	PF04641 PF00160	PF04641 + PF00160
10	exact solution	fusion	PF04893 PF00076	PF04893 + PF00076
10	exact solution	fusion	PF05225 PF03184	PF05225 + PF03184
10	exact solution	fusion	PF05485 PF00651	PF05485 + PF00651
10	exact solution	fusion	PF05485 PF01429	PF05485 + PF01429
10	exact solution	fusion	PF05485 PF07776 PF00096 PF13912 PF00096	PF05485 + PF07776 PF00096 PF13912 PF00096
10	exact solution	fusion	PF05649 PF01431 PF05649 PF01431	PF05649 PF01431 + PF05649 PF01431
10	exact solution	fusion	PF05686 PF00025	PF05686 + PF00025
10	exact solution	fusion	PF05729 PF00023 PF12796 PF00023 PF12796	PF05729 PF00023 PF12796 + PF00023 PF12796
10	exact solution	fusion	PF05729 PF13637	PF05729 + PF13637
10	exact solution	fusion	PF05970 PF14529	PF05970 + PF14529
10	exact solution	fusion	PF07653 PF00621 PF00169	PF07653 + PF00621 PF00169
10	exact solution	fusion	PF07679 PF00704	PF07679 + PF00704
10	exact solution	fusion	PF07679 PF13927 PF07679 PF13927 PF07679 PF00041	PF07679 PF13927 + PF07679 PF13927 PF07679 PF00041
10	exact solution	fusion	PF07679 PF13927 PF07679 PF13927 PF07679 PF00041 PF07679 PF00041	PF07679 + PF13927 PF07679 PF13927 PF07679 PF00041 PF07679 PF00041
10	exact solution	fusion	PF07686 PF13927 PF07679	PF07686 + PF13927 PF07679
10	exact solution	fusion	PF07776 PF13912 PF00096 PF13912	PF07776 PF13912 PF00096 + PF13912
10	exact solution	fusion	PF07776 PF13912 PF00096 PF13912 PF00096 PF13912 PF00096	PF07776 PF13912 PF00096 + PF13912 PF00096 PF13912 PF00096
10	exact solution	fusion	PF07885 PF00884	PF07885 + PF00884
10	exact solution	fusion	PF08154 PF00400 PF00060	PF08154 PF00400 + PF00060
10	exact solution	fusion	PF08205 PF13927 PF08205	PF08205 + PF13927 PF08205
10	exact solution	fusion	PF08241 PF05093	PF08241 + PF05093
10	exact solution	fusion	PF09739 PF16050 PF05179	PF09739 + PF16050 PF05179
10	exact solution	fusion	PF10513 PF13831 PF13832 PF00439 PF00855	PF10513 PF13831 PF13832 + PF00439 PF00855
10	exact solution	fusion	PF10545 PF00089	PF10545 + PF00089
10	exact solution	fusion	PF10545 PF03031	PF10545 + PF03031
10	exact solution	fusion	PF10545 PF03357	PF10545 + PF03357
10	exact solution	fusion	PF10545 PF13842	PF10545 + PF13842
10	exact solution	fusion	PF10545 PF13843	PF10545 + PF13843
10	exact solution	fusion	PF10545 PF17906	PF10545 + PF17906
10	exact solution	fusion	PF10613 PF00060 PF10613 PF00060	PF10613 PF00060 + PF10613 PF00060
10	exact solution	fusion	PF11938 PF07645	PF11938 + PF07645
10	exact solution	fusion	PF12796 PF13606 PF12796 PF00023	PF12796 PF13606 + PF12796 PF00023
10	exact solution	fusion	PF12796 PF13637 PF00520	PF12796 PF13637 + PF00520
10	exact solution	fusion	PF12796 PF13857 PF12796 PF00023 PF12796	PF12796 PF13857 + PF12796 PF00023 PF12796
10	exact solution	fusion	PF12799 PF14580	PF12799 + PF14580
10	exact solution	fusion	PF12937 PF06151	PF12937 + PF06151
10	exact solution	fusion	PF12937 PF07019	PF12937 + PF07019
10	exact solution	fusion	PF13181 PF14559	PF13181 + PF14559
10	exact solution	fusion	PF13359 PF12689	PF13359 + PF12689
10	exact solution	fusion	PF13499 PF00307	PF13499 + PF00307
10	exact solution	fusion	PF13639 PF00628 PF00168	PF13639 PF00628 + PF00168
10	exact solution	fusion	PF13843 PF01094	PF13843 + PF01094
10	exact solution	fusion	PF13855 PF07679 PF03098	PF13855 PF07679 + PF03098
10	exact solution	fusion	PF13857 PF00023 PF12796	PF13857 + PF00023 PF12796
10	exact solution	fusion	PF13857 PF12796	PF13857 + PF12796
10	exact solution	fusion	PF13905 PF01436	PF13905 + PF01436
10	exact solution	fusion	PF13909 PF00096 PF13912	PF13909 + PF00096 PF13912
10	exact solution	fusion	PF13927 PF00041 PF18861 PF00102	PF13927 + PF00041 PF18861 PF00102
10	exact solution	fusion	PF13927 PF07679 PF13927 PF07679 PF07714	PF13927 PF07679 + PF13927 PF07679 PF07714
10	exact solution	fusion	PF13927 PF08205 PF13927	PF13927 PF08205 + PF13927
10	exact solution	fusion	PF13927 PF13676	PF13927 + PF13676
10	exact solution	fusion	PF14223 PF00098	PF14223 + PF00098
10	exact solution	fusion	PF14223 PF00665	PF14223 + PF00665
10	exact solution	fusion	PF14291 PF00069	PF14291 + PF00069
10	exact solution	fusion	PF14291 PF17906	PF14291 + PF17906
10	exact solution	fusion	PF14529 PF00075	PF14529 + PF00075
10	exact solution	fusion	PF14529 PF00078 PF00075	PF14529 PF00078 + PF00075
10	exact solution	fusion	PF14555 PF03372	PF14555 + PF03372
10	exact solution	fusion	PF16012 PF14529	PF16012 + PF14529
10	exact solution	fusion	PF16087 PF00063	PF16087 + PF00063
10	exact solution	fusion	PF16087 PF00665	PF16087 + PF00665
10	exact solution	fusion	PF16087 PF10545	PF16087 + PF10545
10	exact solution	fusion	PF16087 PF13358	PF16087 + PF13358
10	exact solution	fusion	PF16087 PF14529	PF16087 + PF14529
10	exact solution	fusion	PF17906 PF00001	PF17906 + PF00001
10	exact solution	fusion	PF17906 PF00028	PF17906 + PF00028
10	exact solution	fusion	PF17906 PF00406	PF17906 + PF00406
10	exact solution	fusion	PF17906 PF00595	PF17906 + PF00595
10	exact solution	fusion	PF17906 PF01883	PF17906 + PF01883
10	exact solution	fusion	PF17906 PF02586	PF17906 + PF02586
10	exact solution	fusion	PF17906 PF05154	PF17906 + PF05154
10	exact solution	fusion	PF17906 PF05699	PF17906 + PF05699
10	exact solution	fusion	PF17906 PF13843	PF17906 + PF13843
10	exact solution	fusion	PF17906 PF15188	PF17906 + PF15188
10	exact solution	fusion	PF18658 PF05699	PF18658 + PF05699
10	exact solution	fusion	PF18658 PF14291	PF18658 + PF14291
10	exact solution	fusion	PF18658 PF14291 PF05699	PF18658 + PF14291 PF05699
10	exact solution	single domain emergence	PF00602	
10	exact solution	single domain emergence	PF02285	
10	exact solution	single domain emergence	PF09770	
10	exact solution	single domain emergence	PF19040	
10	exact solution	single domain loss		PF00265
10	exact solution	single domain loss		PF00491
10	exact solution	single domain loss		PF00692
10	exact solution	single domain loss		PF00756
10	exact solution	single domain loss		PF00831
10	exact solution	single domain loss		PF01016
10	exact solution	single domain loss		PF01073
10	exact solution	single domain loss		PF01090
10	exact solution	single domain loss		PF01125
10	exact solution	single domain loss		PF01133
10	exact solution	single domain loss		PF01470
10	exact solution	single domain loss		PF01648
10	exact solution	single domain loss		PF01876
10	exact solution	single domain loss		PF01896
10	exact solution	single domain loss		PF01907
10	exact solution	single domain loss		PF02101
10	exact solution	single domain loss		PF03079
10	exact solution	single domain loss		PF03501
10	exact solution	single domain loss		PF03604
10	exact solution	single domain loss		PF03665
10	exact solution	single domain loss		PF03694
10	exact solution	single domain loss		PF03879
10	exact solution	single domain loss		PF04100
10	exact solution	single domain loss		PF04118
10	exact solution	single domain loss		PF04135
10	exact solution	single domain loss		PF04199
10	exact solution	single domain loss		PF04434
10	exact solution	single domain loss		PF04627
10	exact solution	single domain loss		PF04718
10	exact solution	single domain loss		PF04800
10	exact solution	single domain loss		PF04979
10	exact solution	single domain loss		PF05044
10	exact solution	single domain loss		PF05051
10	exact solution	single domain loss		PF05205
10	exact solution	single domain loss		PF05742
10	exact solution	single domain loss		PF06237
10	exact solution	single domain loss		PF06374
10	exact solution	single domain loss		PF06825
10	exact solution	single domain loss		PF07039
10	exact solution	single domain loss		PF08511
10	exact solution	single domain loss		PF08547
10	exact solution	single domain loss		PF08569
10	exact solution	single domain loss		PF08584
10	exact solution	single domain loss		PF09184
10	exact solution	single domain loss		PF09412
10	exact solution	single domain loss		PF09446
10	exact solution	single domain loss		PF09495
10	exact solution	single domain loss		PF09725
10	exact solution	single domain loss		PF09774
10	exact solution	single domain loss		PF09801
10	exact solution	single domain loss		PF09808
10	exact solution	single domain loss		PF09809
10	exact solution	single domain loss		PF09813
10	exact solution	single domain loss		PF10276
10	exact solution	single domain loss		PF10394
10	exact solution	single domain loss		PF10512
10	exact solution	single domain loss		PF10595
10	exact solution	single domain loss		PF14138
10	exact solution	single domain loss		PF14719
10	exact solution	single domain loss		PF14735
10	exact solution	single domain loss		PF14738
10	exact solution	single domain loss		PF14868
10	exact solution	single domain loss		PF14959
10	exact solution	single domain loss		PF14969
10	exact solution	single domain loss		PF15043
10	exact solution	single domain loss		PF15061
10	exact solution	single domain loss		PF15266
10	exact solution	single domain loss		PF15502
10	exact solution	single domain loss		PF15914
10	exact solution	single domain loss		PF16045
10	exact solution	single domain loss		PF16060
10	exact solution	single domain loss		PF16672
10	exact solution	single domain loss		PF17054
10	exact solution	single domain loss		PF18876
10	exact solution	terminal emergence	PF01168 PF14031	PF01168 
10	exact solution	terminal loss	PF00041 PF07679 PF00041 PF07679 PF00041 PF07679 PF00041 PF07679 PF00041 PF07679 PF00041 PF00069 PF07679	PF07679 PF00041 PF07679 PF00041 PF07679 PF00041 PF07679 PF00041 PF07679 PF00041 PF07679 PF00041 PF07679 PF00041 PF07679 PF00041 PF07679 PF00041 PF07679 PF00041 PF07679 PF00041 PF07679 PF00041 PF07679 PF00041 PF07679 PF00041 PF07679 PF00041 PF07679 PF00041 PF07679 PF00041 PF07679 PF00041 PF07679 PF00041 PF00069 PF07679
10	exact solution	terminal loss	PF00168 PF16165	PF00168 PF08151 PF00168 PF08150 PF00168 PF16165
10	exact solution	terminal loss	PF00225 PF16183	PF00225 PF16183 PF12423 PF12473 PF00169
10	exact solution	terminal loss	PF00330	PF00330 PF00694
10	exact solution	terminal loss	PF00373 PF09380 PF00769	PF09379 PF00373 PF09380 PF00769
10	exact solution	terminal loss	PF00387 PF00168	PF00388 PF00017 PF00018 PF00387 PF00168
10	exact solution	terminal loss	PF00387 PF00168 PF06631	PF17787 PF09279 PF00388 PF00387 PF00168 PF06631
10	exact solution	terminal loss	PF00388	PF00388 PF00017 PF00018 PF00387 PF00168
10	exact solution	terminal loss	PF00595 PF07653 PF00625	PF02828 PF00595 PF07653 PF00625
10	exact solution	terminal loss	PF00621 PF19057	PF00621 PF19057 PF19056
10	exact solution	terminal loss	PF00623 PF04983 PF05000 PF04998	PF04997 PF00623 PF04983 PF05000 PF04998
10	exact solution	terminal loss	PF00636	PF04851 PF00271 PF03368 PF02170 PF00636
10	exact solution	terminal loss	PF00658 PF00632	PF11547 PF00658 PF00632
10	exact solution	terminal loss	PF00749 PF03950	PF04558 PF04557 PF00749 PF03950
10	exact solution	terminal loss	PF00773 PF17877	PF17216 PF17849 PF00773 PF17877
10	exact solution	terminal loss	PF00859	PF10524 PF03165 PF00859
10	exact solution	terminal loss	PF01315 PF02738	PF01799 PF00941 PF03450 PF01315 PF02738
10	exact solution	terminal loss	PF01400 PF00431 PF07645 PF00431	PF01400 PF00431 PF07645 PF00431 PF14670 PF00431
10	exact solution	terminal loss	PF01794 PF08022 PF08030	PF03098 PF00036 PF01794 PF08022 PF08030
10	exact solution	terminal loss	PF01799	PF01799 PF00941 PF03450 PF01315 PF02738
10	exact solution	terminal loss	PF02182	PF00240 PF12148 PF00628 PF02182
10	exact solution	terminal loss	PF02188	PF13176 PF13424 PF02188
10	exact solution	terminal loss	PF02194	PF02194 PF00615 PF00787 PF08628
10	exact solution	terminal loss	PF02194 PF00615 PF00787	PF02194 PF00615 PF00787 PF08628
10	exact solution	terminal loss	PF02761 PF02762 PF14447	PF02262 PF02761 PF02762 PF14447
10	exact solution	terminal loss	PF03124	PF03105 PF03124
10	exact solution	terminal loss	PF03450 PF01315 PF02738	PF01799 PF00941 PF03450 PF01315 PF02738
10	exact solution	terminal loss	PF04734	PF04734 PF17048
10	exact solution	terminal loss	PF04851 PF13086 PF13087	PF09416 PF18141 PF04851 PF13086 PF13087
10	exact solution	terminal loss	PF04851 PF16203	PF13625 PF04851 PF16203
10	exact solution	terminal loss	PF04998	PF04997 PF00623 PF04983 PF05000 PF04998
10	exact solution	terminal loss	PF05222 PF01262 PF12769	PF05222 PF01262 PF12769 PF02233
10	exact solution	terminal loss	PF05450	PF18266 PF05450
10	exact solution	terminal loss	PF06512 PF00520	PF00520 PF11933 PF00520 PF06512 PF00520
10	exact solution	terminal loss	PF06701	PF06701 PF00569 PF06701 PF18346 PF12796 PF13920
10	exact solution	terminal loss	PF07565	PF07565 PF00955
10	exact solution	terminal loss	PF07679 PF00041 PF07679 PF00041 PF07679 PF00041 PF07679 PF00041 PF07679 PF00041 PF07679 PF00041	PF07679 PF00041 PF07679 PF00041 PF07679 PF00041 PF07679 PF00041 PF07679 PF00041 PF07679 PF00041 PF07679 PF00041 PF07679 PF00041 PF07679 PF00041 PF07679 PF00041 PF07679 PF00041 PF07679 PF00041 PF07679 PF00041 PF07679 PF00041 PF07679 PF00041 PF07679 PF00041 PF07679 PF00041 PF07679 PF00041 PF07679 PF00041 PF00069 PF07679
10	exact solution	terminal loss	PF08337	PF01833 PF08337
10	exact solution	terminal loss	PF08393	PF08393 PF12774 PF17852 PF12775 PF17857 PF12780 PF12777 PF12781 PF03028 PF18198 PF18199
10	exact solution	terminal loss	PF08393 PF12774	PF08393 PF12774 PF17852 PF12775 PF17857 PF12780 PF12777 PF12781 PF03028 PF18198 PF18199
10	exact solution	terminal loss	PF08603	PF01213 PF08603
10	exact solution	terminal loss	PF09229	PF09229 PF08327
10	exact solution	terminal loss	PF09380 PF08736	PF09379 PF00373 PF09380 PF08736
10	exact solution	terminal loss	PF09380 PF08736 PF00595 PF00102	PF09379 PF00373 PF09380 PF08736 PF00595 PF00102
10	exact solution	terminal loss	PF10559	PF10559 PF00344
10	exact solution	terminal loss	PF11841	PF11841 PF04727 PF16457
10	exact solution	terminal loss	PF12253	PF11600 PF12253
10	exact solution	terminal loss	PF12349	PF12349 PF00368
10	exact solution	terminal loss	PF12763 PF14604 PF00018 PF14604 PF00621	PF12763 PF14604 PF00018 PF14604 PF00621 PF16652 PF00168
10	exact solution	terminal loss	PF13246 PF16212	PF16209 PF13246 PF16212
10	exact solution	terminal loss	PF13336	PF02550 PF13336
10	exact solution	terminal loss	PF13516 PF16000	PF17888 PF13516 PF16000
10	exact solution	terminal loss	PF14622	PF14622 PF00636 PF00035
10	exact solution	terminal loss	PF14648	PF14647 PF14648
10	exact solution	terminal loss	PF16000	PF17888 PF13516 PF16000
10	exact solution	terminal loss	PF16179	PF00554 PF16179
10	exact solution	terminal loss	PF16414	PF16414 PF12349 PF02460
10	exact solution	terminal loss	PF16457	PF11841 PF04727 PF16457
10	exact solution	terminal loss	PF16519	PF18139 PF00520 PF16519
10	exact solution	terminal loss	PF16908 PF16910	PF12624 PF16908 PF16910
10	exact solution	terminal loss	PF17177	PF17177 PF13812
10	exact solution	terminal loss	PF17205 PF00362	PF17205 PF00362 PF07974 PF07965 PF08725
10	exact solution	terminal loss	PF17787 PF09279 PF00388 PF00387	PF17787 PF09279 PF00388 PF00387 PF00168 PF06631
10	exact solution	terminal loss	PF17811	PF00628 PF02373 PF17811
10	exact solution	terminal loss	PF17846	PF03159 PF17846
10	exact solution	terminal loss	PF18151 PF02204	PF01754 PF18151 PF02204
10	exact solution	terminal loss	PF18437	PF13874 PF18437
10	non-ambiguous solution	fission	PF12624 PF16908 PF16910 | PF06650 PF16909	PF12624 PF16908 PF16910 PF06650 PF16909
10	non-ambiguous solution	fission	PF12624 PF16908 | PF06650 PF16909	PF12624 PF16908 PF06650 PF16909
10	non-ambiguous solution	fission	PF13426 | PF00069	PF13426 PF00069
